"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Ryan Griffin",2500,"Hou@Ind 01:00PM ET",7.350,"Hou"
"TE","Michael Williams",2500,"Ten@NE 01:00PM ET",0.325,"NE"
"TE","Chris Gragg",2500,"Buf@Was 01:00PM ET",2.050,"Buf"
"TE","Luke Willson",2500,"Cle@Sea 04:05PM ET",3.383,"Sea"
"TE","James Winchester",2500,"KC@Bal 01:00PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"Hou@Ind 01:00PM ET",1.631,"Ind"
"TE","Vance McDonald",2500,"Cin@SF 04:25PM ET",4.982,"SF"
"TE","Justin Perillo",2500,"GB@Oak 04:05PM ET",3.213,"GB"
"TE","Ryan Hewitt",2500,"Cin@SF 04:25PM ET",1.231,"Cin"
"TE","Levine Toilolo",2500,"Atl@Jax 01:00PM ET",0.892,"Atl"
"TE","Gabe Holmes",2500,"GB@Oak 04:05PM ET",0,"Oak"
"TE","Dion Sims",2500,"Mia@SD 04:25PM ET",2.500,"Mia"
"TE","Jerome Cunningham",2500,"Car@NYG 01:00PM ET",1.350,"NYG"
"TE","Nic Jacobs",2500,"Atl@Jax 01:00PM ET",0.145,"Jax"
"TE","Brandon Williams",2500,"Mia@SD 04:25PM ET",0.000,"Mia"
"TE","Cooper Helfet",2500,"Cle@Sea 04:05PM ET",0.727,"Sea"
"TE","Trey Burton",2500,"Ari@Phi 08:30PM ET",0.531,"Phi"
"TE","Blake Bell",2500,"Cin@SF 04:25PM ET",2.164,"SF"
"TE","Je'Ron Hamm",2500,"Buf@Was 01:00PM ET",0.000,"Was"
"TE","MyCole Pruitt",2500,"Chi@Min 01:00PM ET",1.454,"Min"
"TE","C.J. Fiedorowicz",2500,"Hou@Ind 01:00PM ET",2.592,"Hou"
"TE","Asante Cleveland",2500,"Ten@NE 01:00PM ET",0.367,"NE"
"TE","Brian Parker",2500,"KC@Bal 01:00PM ET",0.267,"KC"
"TE","Scott Simonson",2500,"Car@NYG 01:00PM ET",0.333,"Car"
"TE","C.J. Uzomah",2500,"Cin@SF 04:25PM ET",0.700,"Cin"
"TE","Demetrius Harris",2500,"KC@Bal 01:00PM ET",0.915,"KC"
"TE","Nick O'Leary",2500,"Buf@Was 01:00PM ET",0.000,"Buf"
"TE","Kennard Backman",2500,"GB@Oak 04:05PM ET",0.000,"GB"
"TE","Troy Niklas",2500,"Ari@Phi 08:30PM ET",1.346,"Ari"
"TE","Phillip Supernaw",2500,"Ten@NE 01:00PM ET",0.400,"Ten"
"TE","Maxx Williams",2500,"KC@Bal 01:00PM ET",3.800,"Bal"
